start_frame,end_frame,system_first_7s,system_full
18800,19703,0_6,1_5
19704,20966,3_3,3_3
20967,22104,1_5,1_5
22105,22672,3_3,3_3
22673,23621,2_4,3_3
23622,24932,2_4,3_3
24933,26273,2_4,2_4
26274,26672,1_5,1_5
26673,26987,1_5,3_3
26988,27143,3_3,3_3
27144,27770,3_3,0_6
27771,28177,2_4,3_3
28178,28442,1_5,1_5
28443,28827,3_3,3_3
28828,30006,2_4,1_5
30007,30676,3_3,3_3
30677,32111,1_5,3_3
32112,33199,2_4,3_3
33200,33831,3_3,1_5
33832,33990,3_3,3_3
33991,35867,3_3,3_3
35868,36378,3_3,3_3
36379,36919,3_3,3_3
36920,36988,3_3,2_4
36989,37759,1_5,3_3
37760,38396,0_6,3_3
38397,39522,2_4,3_3
39524,39808,3_3,3_3
39809,40190,3_3,3_3
40191,40674,3_3,2_4
40675,41204,3_3,1_5
41205,41605,2_4,2_4
41606,42255,3_3,0_6
42256,42567,2_4,3_3
42568,43524,2_4,1_5
43526,44045,2_4,2_4
44046,45129,1_5,3_3
45130,45587,1_5,1_5
45588,47497,0_6,1_5
47498,47571,3_3,3_3
47572,47695,2_4,2_4
47697,48229,3_3,3_3
48230,48306,2_4,2_4
48307,48446,3_3,3_3
48447,48830,3_3,3_3
48831,49421,0_6,3_3
49422,49954,2_4,1_5
49956,50835,1_5,3_3
50836,51010,1_5,1_5
51011,51346,3_3,3_3
51347,52051,1_5,2_4
52052,52456,1_5,1_5
52457,52513,1_5,1_5
52514,53175,2_4,1_5
53176,54189,1_5,3_3
54190,54814,3_3,2_4
54815,56366,0_6,3_3
56367,56722,0_6,3_3
56723,56806,3_3,3_3
56807,57193,2_4,2_4
57194,58384,3_3,3_3
58385,58625,1_5,1_5
58626,59501,3_3,2_4
59502,59765,3_3,3_3
59766,59955,1_5,2_4
59956,60255,3_3,3_3
60256,63033,2_4,3_3
63034,63332,1_5,1_5
63333,63475,3_3,3_3
63476,64383,1_5,2_4
64384,65740,1_5,1_5
65741,66272,1_5,1_5
66273,66536,1_5,1_5
66537,68158,2_4,3_3
68159,69891,3_3,3_3
69892,70458,1_5,0_6
70459,70574,0_6,0_6
