start_frame,end_frame,zone,player_id
19204,19703,6,53
20467,20966,4,112
21605,22104,4,217
22173,22672,3,333
23122,23621,4,411
24433,24932,1,519
25774,26273,4,616
26173,26672,8,670
26488,26987,3,671
26644,27143,3,671
27271,27770,4,750
27678,28177,4,792
27943,28442,4,828
28328,28827,4,885
29507,30006,6,1010
30177,30676,4,1056
31612,32111,4,1225
32700,33199,4,1371
33332,33831,7,1422
33491,33990,4,1459
35368,35867,3,1620
35879,36378,4,1690
36420,36919,4,1719
36489,36988,4,1719
37260,37759,5,1850
37897,38396,5,1936
39023,39522,4,2041
39309,39808,3,2044
39691,40190,1,2100
40175,40674,4,2113
40705,41204,4,2174
41106,41605,4,2193
41756,42255,4,2263
42068,42567,3,2278
43025,43524,4,2416
43546,44045,6,2428
44630,45129,4,2567
45088,45587,4,2590
46998,47497,4,2770
47072,47571,4,2783
47196,47695,4,2783
47730,48229,5,2838
47807,48306,5,2838
47947,48446,1,2878
48331,48830,8,2927
48922,49421,5,2957
49455,49954,4,2995
50336,50835,4,3043
50511,51010,4,3139
50847,51346,4,3139
51552,52051,7,3233
51957,52456,3,3274
52014,52513,3,3274
52676,53175,4,3317
53690,54189,3,3419
54315,54814,3,3445
55867,56366,4,3568
56223,56722,4,3626
56307,56806,4,3626
56694,57193,4,3651
57885,58384,4,3771
58126,58625,3,3763
59002,59501,7,3858
59266,59765,8,3912
59456,59955,3,3910
59756,60255,8,3973
62534,63033,3,4210
62833,63332,4,4273
62976,63475,1,4284
63884,64383,6,4355
65241,65740,4,4486
65773,66272,4,4525
66037,66536,4,4525
67659,68158,4,4706
69392,69891,4,4858
69959,70458,5,4885
70075,70574,5,4885
